FID,DISTRICT,SECTOR,PRECINCT,SHAPE_Length,SHAPE_Area
1, ,3,5,0.166077983386185,0.00142021746827683
2, ,3,3,0.250722860097454,0.00204438084192392
3,W,2,5,0.139839742904566,0.00118747197883507
4,W,1,2,0.13973978867709,0.00109729090572263
5,N,2,2,0.150996712412926,0.000554539562375154
6,S,2,2,0.164333545249021,0.00111568502117354
7,E,1,2,0.153009245097601,0.000959463241264904
8,W,1,5,0.129284398199613,0.000777960210865213
9, ,4,3,0.190903348575666,0.00144715696712778
10,E,2,5,0.0844538103426732,0.000389017095816086
11, ,2,3,0.134907864570991,0.000936239948763616
12, ,1,3,0.0960238881887165,0.000460182383656446
13, ,2,1,0.111600915900069,0.000487544854380346
14,E,1,5,0.0674727565321979,0.000294173766466806
15, ,1,1,0.096417734965879,0.000536134299819654
16, ,3,4,0.199827552040878,0.00125869308613807
17,W,2,4,0.0846588343817986,0.00043063651260232
18, ,1,4,0.143626492949092,0.00102946908841714
19,E,2,4,0.0916189041813017,0.00054053134797058
